Length.spi Length.bod scLength.spi scLength.bod treat_dev measurer.spi measurer.bod animal cultureFac blockFac Dam Sire cross
0.09684 0.15228 9.684 15.228 N 0.5 0.5 U1.1_N2.21 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.12349 0.14732 12.349 14.732 N 0.5 0.5 U1.1_N2.22 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.12596 0.15583 12.596 15.583 N 0.5 0.5 U1.1_N2.23 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.12366 0.15483 12.366 15.483 N 0.5 0.5 U1.1_N2.24 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.11579 0.14785 11.579 14.785 N 0.5 0.5 U1.1_N2.25 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.12527 0.15505 12.527 15.505 N 0.5 0.5 U1.1_N2.26 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.12152 0.12821 12.152 12.821 N 0.5 0.5 U1.1_N2.27 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.13432 0.15112 13.432 15.112 N 0.5 0.5 U1.1_N2.28 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.13482 0.15735 13.482 15.735 N 0.5 0.5 U1.1_N2.29 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.12733 0.15472 12.733 15.472 N 0.5 0.5 U1.1_N2.3 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.0985 0.15074 9.85 15.074 N 0.5 0.5 U1.1_N2.30 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.12894 0.1484 12.894 14.84 N 0.5 0.5 U1.1_N2.31 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.12159 0.14863 12.159 14.863 N 0.5 0.5 U1.1_N2.32 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.13294 0.15458 13.294 15.458 N 0.5 0.5 U1.1_N2.33 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.1182 0.14413 11.82 14.413 N 0.5 0.5 U1.1_N2.34 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.12782 0.146 12.782 14.6 N 0.5 0.5 U1.1_N2.35 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.12521 0.15151 12.521 15.151 N 0.5 0.5 U1.1_N2.4 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.13682 0.15477 13.682 15.477 N 0.5 0.5 U1.1_N2.5 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.13059 0.15617 13.059 15.617 N 0.5 0.5 U1.1_N2.6 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.11607 0.14859 11.607 14.859 N 0.5 0.5 U1.1_N2.7 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.1222 0.14269 12.22 14.269 N 0.5 0.5 U1.1_N2.8 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.11872 0.15913 11.872 15.913 N 0.5 0.5 U1.1_N2.9 U1.1_N2 6 dam_U1 sire_U1 U1U1
0.12188 0.14199 12.188 14.199 U 0.5 0.5 U1.1_U1.1 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.11306 0.13924 11.306 13.924 U 0.5 0.5 U1.1_U1.10 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.09924 0.13577 9.924 13.577 U 0.5 0.5 U1.1_U1.11 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.11529 0.13737 11.529 13.737 U 0.5 0.5 U1.1_U1.12 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.10486 0.1433 10.486 14.33 U 0.5 0.5 U1.1_U1.13 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.09071 0.14126 9.071 14.126 U 0.5 0.5 U1.1_U1.14 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.08485 0.13274 8.485 13.274 U 0.5 0.5 U1.1_U1.15 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.09396 0.13631 9.396 13.631 U 0.5 0.5 U1.1_U1.16 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.10049 0.13078 10.049 13.078 U 0.5 0.5 U1.1_U1.17 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.09178 0.13678 9.178 13.678 U 0.5 0.5 U1.1_U1.18 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.09505 0.13827 9.505 13.827 U 0.5 0.5 U1.1_U1.19 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.07238 0.13444 7.238 13.444 U 0.5 0.5 U1.1_U1.2 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.09999 0.13216 9.999 13.216 U 0.5 0.5 U1.1_U1.20 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.09237 0.14305 9.237 14.305 U 0.5 0.5 U1.1_U1.21 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.10182 0.1284 10.182 12.84 U 0.5 0.5 U1.1_U1.22 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.10815 0.13193 10.815 13.193 U 0.5 0.5 U1.1_U1.23 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.04445 0.1266 4.445 12.66 U 0.5 0.5 U1.1_U1.24 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.12314 0.14545 12.314 14.545 U 0.5 0.5 U1.1_U1.25 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.09474 0.13481 9.474 13.481 U 0.5 0.5 U1.1_U1.26 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.10534 0.1367 10.534 13.67 U 0.5 0.5 U1.1_U1.27 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.09995 0.13836 9.995 13.836 U 0.5 0.5 U1.1_U1.28 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.07282 0.13361 7.282 13.361 U 0.5 0.5 U1.1_U1.29 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.10199 0.12624 10.199 12.624 U 0.5 0.5 U1.1_U1.3 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.09255 0.14514 9.255 14.514 U 0.5 0.5 U1.1_U1.30 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.09527 0.13653 9.527 13.653 U 0.5 0.5 U1.1_U1.31 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.08091 0.14021 8.091 14.021 U 0.5 0.5 U1.1_U1.32 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.08576 0.13769 8.576 13.769 U 0.5 0.5 U1.1_U1.33 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.10639 0.17121 10.639 17.121 U 0.5 0.5 U1.1_U1.34 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.09521 0.14008 9.521 14.008 U 0.5 0.5 U1.1_U1.4 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.10789 0.13537 10.789 13.537 U 0.5 0.5 U1.1_U1.5 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.08834 0.12825 8.834 12.825 U 0.5 0.5 U1.1_U1.6 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.11176 0.14279 11.176 14.279 U 0.5 0.5 U1.1_U1.7 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.09319 0.13531 9.319 13.531 U 0.5 0.5 U1.1_U1.8 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.10476 0.1238 10.476 12.38 U 0.5 0.5 U1.1_U1.9 U1.1_U1 6 dam_U1 sire_U1 U1U1
0.08617 0.146 8.617 14.6 U 0.5 0.5 U1.1_U2.1 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.07849 0.13508 7.849 13.508 U 0.5 0.5 U1.1_U2.10 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.08366 0.13718 8.366 13.718 U 0.5 0.5 U1.1_U2.11 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.08234 0.13553 8.234 13.553 U 0.5 0.5 U1.1_U2.12 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.08802 0.12622 8.802 12.622 U 0.5 0.5 U1.1_U2.13 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.08285 0.1377 8.285 13.77 U 0.5 0.5 U1.1_U2.14 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.09768 0.13725 9.768 13.725 U 0.5 0.5 U1.1_U2.15 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.08145 0.12783 8.145 12.783 U 0.5 0.5 U1.1_U2.16 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.10738 0.13791 10.738 13.791 U 0.5 0.5 U1.1_U2.17 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.09708 0.14223 9.708 14.223 U 0.5 0.5 U1.1_U2.18 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.08222 0.12789 8.222 12.789 U 0.5 0.5 U1.1_U2.19 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.07333 0.12012 7.333 12.012 U 0.5 0.5 U1.1_U2.2 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.09711 0.13896 9.711 13.896 U 0.5 0.5 U1.1_U2.20 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.10162 0.13342 10.162 13.342 U 0.5 0.5 U1.1_U2.21 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.08568 0.12427 8.568 12.427 U 0.5 0.5 U1.1_U2.22 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.10728 0.13142 10.728 13.142 U 0.5 0.5 U1.1_U2.23 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.08497 0.12385 8.497 12.385 U 0.5 0.5 U1.1_U2.24 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.11777 0.1311 11.777 13.11 U 0.5 0.5 U1.1_U2.25 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.07534 0.12238 7.534 12.238 U 0.5 0.5 U1.1_U2.26 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.09849 0.12505 9.849 12.505 U 0.5 0.5 U1.1_U2.27 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.0657 0.13091 6.57 13.091 U 0.5 0.5 U1.1_U2.28 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.09439 0.12966 9.439 12.966 U 0.5 0.5 U1.1_U2.29 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.09995 0.13843 9.995 13.843 U 0.5 0.5 U1.1_U2.3 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.09401 0.13146 9.401 13.146 U 0.5 0.5 U1.1_U2.30 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.09879 0.13994 9.879 13.994 U 0.5 0.5 U1.1_U2.31 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.05353 0.11765 5.353 11.765 U 0.5 0.5 U1.1_U2.32 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.11458 0.1315 11.458 13.15 U 0.5 0.5 U1.1_U2.33 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.10759 0.13662 10.759 13.662 U 0.5 0.5 U1.1_U2.34 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.08347 0.14143 8.347 14.143 U 0.5 0.5 U1.1_U2.35 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.08698 0.14415 8.698 14.415 U 0.5 0.5 U1.1_U2.4 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.07932 0.1413 7.932 14.13 U 0.5 0.5 U1.1_U2.5 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.09399 0.13696 9.399 13.696 U 0.5 0.5 U1.1_U2.6 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.08626 0.131 8.626 13.1 U 0.5 0.5 U1.1_U2.7 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.08975 0.13706 8.975 13.706 U 0.5 0.5 U1.1_U2.8 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.11112 0.14073 11.112 14.073 U 0.5 0.5 U1.1_U2.9 U1.1_U2 6 dam_U1 sire_U1 U1U1
0.1231 0.15181 12.31 15.181 N 0.5 0.5 U1.2_N1.1 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.12039 0.15581 12.039 15.581 N 0.5 0.5 U1.2_N1.10 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.13392 0.15041 13.392 15.041 N 0.5 0.5 U1.2_N1.11 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.13599 0.14082 13.599 14.082 N 0.5 0.5 U1.2_N1.12 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.12571 0.14101 12.571 14.101 N 0.5 0.5 U1.2_N1.13 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.11957 0.13234 11.957 13.234 N 0.5 0.5 U1.2_N1.14 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.12544 0.14719 12.544 14.719 N 0.5 0.5 U1.2_N1.15 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.11659 0.14431 11.659 14.431 N 0.5 0.5 U1.2_N1.16 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.13066 0.13934 13.066 13.934 N 0.5 0.5 U1.2_N1.17 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.11997 0.15235 11.997 15.235 N 0.5 0.5 U1.2_N1.18 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.12358 0.14609 12.358 14.609 N 0.5 0.5 U1.2_N1.19 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.13831 0.15525 13.831 15.525 N 0.5 0.5 U1.2_N1.2 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.13747 0.15667 13.747 15.667 N 0.5 0.5 U1.2_N1.20 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.12538 0.14687 12.538 14.687 N 0.5 0.5 U1.2_N1.21 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.10496 0.14916 10.496 14.916 N 0.5 0.5 U1.2_N1.22 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.13891 0.1621 13.891 16.21 N 0.5 0.5 U1.2_N1.23 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.11327 0.14608 11.327 14.608 N 0.5 0.5 U1.2_N1.24 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.12401 0.15094 12.401 15.094 N 0.5 0.5 U1.2_N1.25 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.10127 0.13554 10.127 13.554 N 0.5 0.5 U1.2_N1.26 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.12359 0.14922 12.359 14.922 N 0.5 0.5 U1.2_N1.27 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.14222 0.153 14.222 15.3 N 0.5 0.5 U1.2_N1.28 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.12358 0.14713 12.358 14.713 N 0.5 0.5 U1.2_N1.29 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.13399 0.16079 13.399 16.079 N 0.5 0.5 U1.2_N1.3 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.13948 0.14795 13.948 14.795 N 0.5 0.5 U1.2_N1.30 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.11588 0.14253 11.588 14.253 N 0.5 0.5 U1.2_N1.31 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.12737 0.15176 12.737 15.176 N 0.5 0.5 U1.2_N1.32 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.12727 0.14336 12.727 14.336 N 0.5 0.5 U1.2_N1.33 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.11637 0.14323 11.637 14.323 N 0.5 0.5 U1.2_N1.34 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.12225 0.14485 12.225 14.485 N 0.5 0.5 U1.2_N1.35 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.12446 0.15349 12.446 15.349 N 0.5 0.5 U1.2_N1.4 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.1312 0.16377 13.12 16.377 N 0.5 0.5 U1.2_N1.5 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.13651 0.15378 13.651 15.378 N 0.5 0.5 U1.2_N1.6 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.14158 0.14362 14.158 14.362 N 0.5 0.5 U1.2_N1.7 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.05495 0.13709 5.495 13.709 N 0.5 0.5 U1.2_N1.8 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.12653 0.14026 12.653 14.026 N 0.5 0.5 U1.2_N1.9 U1.2_N1 6 dam_U1 sire_U2 U1U2
0.13092 0.15268 13.092 15.268 N 0.5 0.5 U1.2_N2.1 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.11565 0.14572 11.565 14.572 N 0.5 0.5 U1.2_N2.10 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.11498 0.14249 11.498 14.249 N 0.5 0.5 U1.2_N2.11 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.10703 0.14638 10.703 14.638 N 0.5 0.5 U1.2_N2.12 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.13192 0.16115 13.192 16.115 N 0.5 0.5 U1.2_N2.13 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.12029 0.14619 12.029 14.619 N 0.5 0.5 U1.2_N2.14 U1.2_N2 6 dam_U1 sire_U2 U1U2
0.13548 0.14577 13.548 14.577 N 0.5 0.5 U1.2_N2.15 U1.2_N2 6 dam_U1 sire_U2 U1U2
