Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
U55_N2_RNA_S58_L001_R2										12.304362912779803	2.7594902899883804	4.000866500439899	1.2177266375032394	3.1951130778159267	0.7406523281447203	1.0178156649208066
U55_U1_RNA_S59_L001_R1										14.14332256428074	3.345600777661434	4.377092580618028	1.2820518521678057	2.580313143267007	1.2004365956156817	1.2156203620291353
U55_U1_RNA_S59_L001_R2										11.762483751942874	2.7629029951549637	3.672473630144778	1.2314321359942524	3.1402473684614933	0.732580047596593	1.0937476397101764
U56_N1_RNA_S60_L001_R1										14.315669282970775	3.2949338180790195	4.551214291132968	1.1877360623837419	2.495192296129192	1.035446692723205	0.9115468319812361
U56_N1_RNA_S60_L001_R2										12.134446008419124	2.719423625296628	3.8833058161075953	1.1813923222619573	2.832103658385441	0.6724446641972444	0.8511986407830536
U56_U1_RNA_S61_L001_R1										13.692204836145915	3.2612597818287923	5.123444968969016	1.914387663523924	3.3751601558851143	1.280393842674275	1.2888075909847698
U56_U1_RNA_S61_L001_R2										11.501568133617011	2.781279749650909	4.662710551030388	1.7566059383712356	3.665467721044296	0.9546169332466863	1.1096607806800962
U65_N1_RNA_S62_L001_R1										14.10674424047516	3.390666641185433	4.7612173548120005	1.411156157355061	3.1586560579094605	1.3391699997432263	1.9381037747949401
U65_N1_RNA_S62_L001_R2										11.825817373230011	2.8075898497477465	3.9534823583428915	1.316162971112105	3.6934170699560966	1.3958735494710732	1.386636313666601
U65_U2_RNA_S63_L001_R1										13.874778879217914	3.4475520948169844	5.223824393007904	1.6695315548892	3.609308047402884	1.5887293481236144	2.3331743393661615
U65_U2_RNA_S63_L001_R2										11.69798402065226	2.866291993179584	4.505037025234009	1.541434762351506	4.100369035550287	1.5800303575099726	1.814070656782963
U66_N1_RNA_S64_L001_R1										13.994346411058109	3.370893775433923	4.780669655062606	1.4614912947568732	3.1712681604223323	1.3658829517552853	1.7615302558281667
U66_N1_RNA_S64_L001_R2										11.111209131798896	2.562611632620708	3.7596204131239928	1.2499985966421634	3.6570191422980276	1.1938099814668637	1.2305647494318677
U66_U1_RNA_S65_L001_R1										13.56676211746107	3.474475594370987	5.4039497176906535	1.7376773157171586	4.073781727992879	2.118321660683755	3.46558935877321
U66_U1_RNA_S65_L001_R2										11.483677185490073	2.9861689482795164	4.513014738658116	1.6393065306704049	4.8694239429150885	2.139042603479972	3.119045009169818
U77_N1_RNA_S66_L001_R1										13.857095940663122	3.4167953846610066	5.104056353089405	1.544844177513514	3.109793362781053	1.0279041285760817	1.247777517939896
U77_N1_RNA_S66_L001_R2										11.678863422524667	2.8417112978987036	4.3899727752357105	1.3739050889382878	3.4183124769532505	0.81112889825988	1.120875962175879
U77_U1_RNA_S67_L001_R1										12.548694238293628	3.2208360526046658	4.972802828386912	1.6501503554343637	3.7140246335023637	1.3273118720046868	1.4398301076904572
U77_U1_RNA_S67_L001_R2										10.666934773493272	2.6455985080286277	4.266484450367881	1.6434589688351375	4.040583562581671	0.9092076072787089	1.5484516466232923
U78_N1_RNA_S68_L001_R1										13.867515392670091	3.5689316866639285	5.5916944488491245	1.821038235312929	3.976821906246602	1.7945769235258768	2.5731405412307455
U78_N1_RNA_S68_L001_R2										11.827440628879817	3.1636507397552256	4.927330039861311	1.719658860766262	4.547681079487589	1.7106068507744285	2.4654260330183266
U78_U1_RNA_S69_L001_R1										14.635445673158523	3.617242792783679	5.486170136969496	1.8298699802316485	3.8800981274910216	1.6940037842313487	2.576839764144385
U78_U1_RNA_S69_L001_R2										12.025613882662922	3.0425377500094037	4.70436325849703	1.68170866551066	4.180126429163449	1.6215975879267237	2.150165523773685
U87_N1_RNA_S70_L001_R1										14.803949158886507	3.996232333937444	5.929792849829011	1.8427245708922555	3.7659732482959436	1.5059178689275179	2.6239436036338857
U87_N1_RNA_S70_L001_R2										12.570634794063315	3.2970847512683337	4.954742688063851	1.6518242461729997	4.177806792904096	1.6090135248070938	2.1012920374993955
U87_U1_RNA_S71_L001_R1										13.472146067092206	3.511863257424081	5.519352837916214	1.7988642973988025	4.179110480101919	2.3491738406928535	4.210780599626602
U87_U1_RNA_S71_L001_R2										11.608159867700559	2.9812791938297565	4.61668114025798	1.5738106873682354	5.053614578840078	2.8722033324270937	3.712887323686597
U88_N1_RNA_S72_L001_R1										13.68506429216158	3.4640604419712604	5.205978618104765	1.5829482538411006	3.933470158456309	1.8573786348307604	3.44683270880148
U88_N1_RNA_S72_L001_R2										11.271881203351304	2.8665362475353153	4.298041607978	1.5001459096407983	4.61410535795466	2.1286918041214307	2.8734135789138353
U88_U1_RNA_S73_L001_R1										13.465019219912255	3.49325863657682	5.620703526831609	1.8084229315074893	4.185796629096481	2.1079842142621197	4.699588542949777
U88_U1_RNA_S73_L001_R2										11.618926756690312	3.0401857862445003	4.723540148878883	1.602119793862936	4.885217764445423	2.7209313249754077	4.39522090547406
U910_N2_RNA_S74_L001_R1										13.934107769478551	3.4911579584097128	4.914195258665608	1.5325053147656937	3.6386301961506904	1.5796724628896646	3.1296337399552177
U910_N2_RNA_S74_L001_R2										11.507713076822785	2.704216990598879	3.9683950501369276	1.468455985840365	4.082550356030024	1.8321756871201003	2.472620474714583
U910_U2_RNA_S75_L001_R1										14.054152252010226	3.4673210093665294	5.1851961729580145	1.603640925081176	3.6354470201830904	1.4700612222994571	2.365761525845737
U910_U2_RNA_S75_L001_R2										11.988154582766008	2.872926527379423	4.446223964780533	1.5586278822583397	4.020565684136059	1.606747380264669	1.837468379173737
U99_N2_RNA_S76_L001_R1										11.498409061293454	2.7411424846541594	3.863551268915662	1.4832386261864294	3.5963572747637667	1.4585654084918254	1.5012839502327195
U99_N2_RNA_S76_L001_R2										9.543260353696907	2.0658539682787946	3.4865127918771446	1.499722904474157	4.178486752389188	1.0224557273895383	1.251861911245802
U99_U2_RNA_S77_L001_R1										14.646316355200712	3.700558655151339	5.422283770662144	1.6885612384052544	3.7623111027329017	1.8892083336933416	3.212813261906384
U99_U2_RNA_S77_L001_R2										12.466012756091601	2.9814120965016686	4.473568521910822	1.5801648051580255	4.354338410513018	2.0078436722682027	2.653762806319528
