Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
N1010_N1_RNA_S38_L001_R1	116732.0	80662.5	30429.0	14206.5	10972.5	8920.5	7576.0	7014.5	6963.5	6998.5	7106.5	7514.5	8212.5	9298.0	10856.0	13002.5	16415.0	21953.5	29957.5	42132.5	61780.5	91465.0	133407.5	196323.0	286698.5	399386.0	540583.0	717709.0	935270.5	1162613.5	1365437.0	1502560.5	1608308.0	1676277.5	1671487.0	1650585.5	1619957.0	1580710.0	1515470.0	1447295.5	1409926.5	1375315.0	1334561.5	1313069.5	1323502.5	1324891.0	1312550.5	1299307.0	1250043.5	1170166.5	1101727.5	1041381.0	970701.0	901379.5	819517.5	722795.0	623848.0	525528.0	434516.0	353713.5	280713.5	217681.0	171329.5	132883.0	98186.0	72214.0	53693.0	41091.5	31525.5	23682.0	17347.0	12715.0	9361.0	6764.5	5722.0	4833.0	3896.5	3735.0	3293.5	2660.5	2321.5	2053.0	1749.5	1460.5	1239.0	1077.5	951.5	827.5	693.5	612.5	552.0	476.5	406.0	356.0	319.5	276.5	253.0	245.0	244.5	280.5	877.5
N1010_N1_RNA_S38_L001_R2	50314.0	39604.0	22327.5	14235.5	11464.0	9087.0	7428.5	6712.5	6431.5	6321.5	6515.0	7017.0	7677.5	8802.5	10348.0	12374.5	15740.0	20879.0	28103.5	38776.5	56156.5	82575.0	120751.5	176675.5	254253.0	356480.0	498472.5	670370.0	852112.5	1084217.5	1282169.5	1388916.0	1490928.0	1571110.5	1595106.0	1593423.0	1578159.0	1562955.0	1533027.0	1478429.0	1447991.5	1408143.0	1357433.0	1342046.0	1341468.0	1333849.5	1315476.5	1297150.5	1283760.5	1215023.5	1129804.5	1069472.0	1000085.5	929710.0	838622.0	728247.5	617994.0	515139.0	418788.5	334081.0	263325.0	203997.0	159396.5	122921.5	90886.5	67023.0	49864.5	37964.0	28700.5	21269.0	15617.5	11546.5	8582.0	6280.5	4843.0	3920.0	3538.5	3256.0	2581.5	1929.5	1564.5	1369.0	1220.0	1036.5	893.0	818.5	767.0	728.0	649.5	613.5	625.5	641.0	679.0	725.0	819.0	1047.0	1368.5	1735.0	3022.5	6622.5	16376.0
N1010_U2_RNA_S39_L001_R1	128845.0	88555.5	33387.5	16461.0	13135.5	10938.5	9589.5	9174.5	9121.0	9102.0	9349.5	9907.0	10614.5	11675.0	13163.5	15272.0	18543.5	23731.0	31102.0	42536.0	60838.5	87223.5	124834.5	181343.5	262610.0	366110.5	495990.0	658637.0	861836.0	1078908.5	1275266.0	1412661.5	1523069.0	1595297.5	1595009.5	1579401.0	1555105.0	1519192.0	1457636.5	1392963.5	1355618.0	1321872.5	1282641.5	1258486.0	1264991.5	1266946.0	1254253.5	1240148.0	1193221.5	1118048.5	1054598.0	998486.0	931872.5	867100.5	792109.5	699280.0	603321.5	509111.0	420349.5	341715.0	271891.5	211689.5	167708.0	131800.0	98678.0	73576.0	55283.5	43575.0	35006.0	27169.5	20322.5	15033.0	11174.0	8134.5	7759.0	6814.5	5325.0	5662.5	5153.0	4040.0	3619.5	3254.0	2773.5	2265.5	1896.0	1661.5	1413.0	1193.0	999.0	874.5	807.0	719.5	624.5	545.5	518.0	457.0	378.5	375.5	373.0	376.0	961.0
N1010_U2_RNA_S39_L001_R2	70299.0	54989.5	30665.5	19363.5	15346.5	12017.0	9676.0	8597.0	7990.5	7609.5	7549.0	7823.0	8283.0	9140.0	10497.0	12408.0	15443.5	19922.0	26133.0	35499.0	51079.0	74485.5	108334.5	158381.5	227646.5	319995.0	451662.5	610330.0	778543.5	1001780.0	1195355.5	1304150.0	1411369.0	1495123.0	1521022.5	1520987.5	1509491.0	1496161.5	1468205.5	1419744.0	1390596.5	1348319.5	1297575.5	1280814.5	1280271.5	1273293.0	1255098.5	1238072.5	1225857.5	1163657.0	1084737.5	1027488.5	961369.5	896389.5	811552.0	705151.5	597636.5	496496.5	403219.0	321144.5	252687.0	196760.0	154570.0	120135.0	90563.0	68512.5	52304.0	40471.5	30897.5	23655.5	17903.5	13345.5	10158.5	7491.0	5832.5	4674.5	4528.5	4408.5	3309.0	2278.0	1746.5	1518.5	1363.5	1159.5	994.5	912.5	868.0	837.0	778.5	734.0	721.0	729.0	764.0	809.0	943.0	1174.5	1481.0	1902.5	3436.5	7631.0	17988.5
N109_N1_RNA_S40_L001_R1	148403.0	100831.5	37059.0	18079.0	13734.5	10994.0	9319.5	8702.5	8498.5	8373.0	8476.0	8834.5	9397.0	10435.5	11913.5	14092.5	17505.5	23276.5	31392.0	42974.5	63101.0	93694.0	136259.0	199278.5	287615.0	397331.0	530629.5	693553.0	889125.0	1088554.0	1264866.5	1377189.0	1461821.0	1511487.0	1492056.0	1462014.5	1426363.0	1381870.0	1317536.0	1257641.5	1221418.0	1187651.0	1149551.0	1125570.5	1131586.0	1132762.0	1121150.0	1110237.0	1068277.0	998516.0	938710.0	886093.0	824696.5	762450.5	691537.0	610262.0	527769.5	444033.5	365759.5	296495.5	233833.0	180956.0	142579.5	111191.0	83028.5	61502.0	45572.0	35385.5	28507.0	22130.0	16434.0	12197.5	9044.5	6496.5	5939.5	5151.0	4045.5	4187.0	3839.0	3148.5	2804.0	2467.0	2056.5	1655.5	1420.5	1277.0	1081.0	902.0	755.0	661.0	634.5	567.5	480.0	428.5	378.5	312.0	263.5	254.5	255.5	288.5	990.0
N109_N1_RNA_S40_L001_R2	55308.0	43730.0	25416.5	16599.5	12913.5	9940.0	7958.0	6996.0	6466.5	6217.0	6256.0	6584.0	7179.5	8188.0	9566.5	11514.5	14619.5	19530.5	26639.5	37277.5	55087.0	82034.0	120620.5	175839.0	251419.5	350033.5	483849.0	642435.5	804881.5	1013786.5	1184967.0	1266148.0	1346220.5	1409315.5	1419392.0	1407209.0	1386257.5	1366946.0	1338193.0	1289618.5	1261951.0	1223232.0	1174923.0	1156937.5	1152408.0	1145913.0	1129928.5	1112566.5	1102324.0	1043675.0	968606.0	916409.5	855604.5	792142.5	713566.0	619771.5	524450.0	434480.0	352291.5	280345.0	220152.5	171331.5	133914.0	103581.5	77553.5	57660.5	43915.0	33892.0	25731.5	19585.5	14806.5	11130.0	8386.5	6089.5	4748.5	3874.5	3633.5	3526.5	2756.0	1999.0	1583.5	1336.0	1187.0	1015.5	885.5	801.5	735.5	713.5	687.5	662.5	651.5	688.0	740.0	801.5	946.0	1196.0	1546.5	1959.5	3521.5	7435.5	17134.0
N109_U1_RNA_S41_L001_R1	111255.0	76344.0	28429.5	13505.0	10438.0	8431.0	7192.0	6761.0	6644.5	6596.0	6819.0	7187.0	7629.5	8700.5	10152.5	11942.0	14797.5	19760.0	26555.5	36388.0	53356.0	78950.0	115325.5	169492.0	246586.0	343345.0	464709.0	614718.5	794488.0	981562.0	1150846.5	1266975.0	1356552.0	1411638.5	1404473.5	1386240.5	1357670.5	1317534.5	1259735.0	1203608.0	1168715.5	1135497.5	1097741.5	1074751.5	1077858.0	1076443.0	1066012.0	1054109.5	1014247.0	954158.5	902072.5	853130.0	796842.0	739239.5	673381.0	597271.5	517834.5	436493.5	360638.5	292986.0	232226.5	181784.0	144816.0	113804.5	85738.5	64456.5	48902.0	38770.0	31320.0	24424.5	18493.0	14063.0	10769.5	8144.0	7239.5	6252.0	4965.5	4785.5	4245.0	3443.0	2956.5	2517.0	2082.0	1675.5	1428.0	1281.0	1118.0	936.5	784.0	680.0	598.5	497.5	416.0	382.0	359.0	300.5	247.5	241.0	233.0	229.0	544.0
N109_U1_RNA_S41_L001_R2	48355.0	38054.5	21506.0	13649.0	10808.0	8482.5	6891.5	6216.5	5868.0	5721.0	5858.0	6193.0	6743.0	7750.5	9209.5	11048.5	13851.5	18218.5	24327.5	33337.0	48337.0	71469.0	104647.5	152315.0	218627.0	305600.5	426038.5	572097.0	725763.0	919087.0	1084672.0	1176995.5	1261591.0	1328699.0	1346717.0	1339637.0	1322164.5	1302007.5	1273242.5	1229175.5	1200466.5	1161732.0	1116583.0	1098762.5	1093753.5	1085265.0	1069340.5	1052300.0	1040975.0	988868.5	922634.5	874307.0	817450.5	760345.0	689178.5	603831.5	514501.5	427506.0	346386.5	274850.5	215736.5	168885.0	133125.5	103702.5	78706.5	59560.5	45705.0	35749.5	27902.0	21495.5	16402.0	12563.0	9762.5	7346.5	5783.0	4697.5	4275.0	3991.0	3115.0	2349.5	1916.0	1609.0	1359.0	1136.5	949.0	848.0	774.5	695.0	625.0	580.0	578.0	571.0	577.5	630.5	743.5	942.5	1202.0	1550.5	2661.5	6003.0	14159.5
N11_N1_RNA_S2_L001_R1	106924.0	74179.0	28004.0	13025.5	10444.5	8694.0	7745.5	7509.5	7464.0	7557.0	7961.0	8607.5	9444.5	10708.5	12627.5	14934.0	18453.0	24220.0	32496.5	45326.0	65895.0	95357.0	136285.0	196242.5	279912.5	391260.0	537616.0	726377.5	963444.0	1220560.0	1478155.5	1693222.0	1860402.5	1966979.5	2002421.5	2021019.5	2014988.0	1987032.0	1932444.0	1882280.0	1853175.0	1817251.5	1802653.0	1795998.5	1790632.0	1796230.5	1772700.0	1757789.5	1718932.5	1620322.0	1532975.5	1451686.0	1359467.5	1257213.0	1136918.0	1004558.5	866650.5	733647.0	610969.0	500056.0	400562.0	311933.5	248483.0	197842.5	153063.0	119002.0	90248.5	74296.0	63144.5	50113.5	38015.5	28295.5	21898.0	15345.5	14871.0	15983.0	13697.0	12384.5	10974.0	8893.0	8177.0	7229.0	5706.5	4083.5	3014.0	2445.0	1855.5	1262.0	886.0	715.5	616.5	544.5	552.5	572.5	546.5	458.5	378.0	376.5	316.5	249.5	483.0
