Sample	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	141
N21_U2_RNA_S7_L001_R1	207329.0	286072.0	329699.0	393056.0	463485.0	543084.0	620738.0	702276.0	781650.0	850762.0	917845.0	973137.0	1010520.0	1052337.0	1071870.0	1084820.0	1100122.0	1072644.0	1076006.0	1047328.0	1018467.0	989035.0	1381651.0	21135086.0
N21_U2_RNA_S7_L001_R2	181336.0	270508.0	310435.0	372929.0	440917.0	509490.0	584307.0	665355.0	744957.0	817590.0	880414.0	940244.0	988815.0	1025317.0	1048500.0	1065019.0	1086110.0	1056589.0	1075827.0	1057532.0	1032364.0	1002308.0	1550459.0	20576317.0
N22_N2_RNA_S8_L001_R1	209466.0	277599.0	311887.0	368692.0	435821.0	517093.0	598984.0	688478.0	778339.0	866713.0	953042.0	1030805.0	1089768.0	1153667.0	1194665.0	1227645.0	1259499.0	1243658.0	1259325.0	1239368.0	1216213.0	1189129.0	1699255.0	26465131.0
N22_N2_RNA_S8_L001_R2	163933.0	244357.0	280450.0	340092.0	405150.0	478291.0	559165.0	649435.0	741360.0	832652.0	918200.0	1001198.0	1071876.0	1132641.0	1177423.0	1217218.0	1254404.0	1239839.0	1263088.0	1252004.0	1229478.0	1201863.0	1884882.0	26017521.0
N22_U1_RNA_S9_L001_R1	175055.0	243634.0	278117.0	333747.0	393167.0	465058.0	535097.0	611720.0	688535.0	761588.0	831511.0	893830.0	943226.0	990167.0	1018162.0	1036062.0	1052132.0	1035479.0	1033276.0	1009847.0	984532.0	956485.0	1280652.0	18529774.0
N22_U1_RNA_S9_L001_R2	148066.0	223794.0	254198.0	308919.0	364385.0	431292.0	498657.0	578220.0	657963.0	733860.0	801427.0	867962.0	925965.0	970960.0	1001613.0	1025228.0	1044452.0	1028325.0	1034408.0	1014779.0	989614.0	959552.0	1401061.0	18220775.0
N33_N1_RNA_S10_L001_R1	144397.0	212916.0	249897.0	308971.0	368954.0	439238.0	508199.0	581247.0	651428.0	719034.0	773383.0	823656.0	858005.0	893411.0	906504.0	917437.0	923782.0	907704.0	897013.0	877773.0	857105.0	829620.0	1180754.0	18343995.0
N33_N1_RNA_S10_L001_R2	123992.0	194504.0	232340.0	293201.0	353226.0	420629.0	490580.0	564859.0	636912.0	708854.0	763622.0	815926.0	856799.0	891675.0	907450.0	920906.0	929129.0	913717.0	908391.0	892633.0	871371.0	842724.0	1309007.0	17854991.0
N33_U1_RNA_S11_L001_R1	98575.0	133340.0	148271.0	175328.0	203041.0	239031.0	276054.0	318299.0	360659.0	404784.0	446698.0	487456.0	521429.0	558195.0	584865.0	607236.0	627962.0	632709.0	643280.0	642372.0	639973.0	629702.0	990534.0	16858074.0
N33_U1_RNA_S11_L001_R2	83335.0	122218.0	136753.0	163327.0	190799.0	223679.0	259319.0	301546.0	344614.0	390751.0	432200.0	474544.0	511732.0	548957.0	576850.0	602226.0	624082.0	629369.0	644765.0	647268.0	646470.0	635116.0	1088121.0	16502337.0
