Sample,Filtered Reads,Total Mapping Rate (%),Unique Mapping Rate (%),Multi-Mapping Rate (%)
U78_N1_RNA_S68_L001_R1,40403233,71.09,61.69586726,9.39235234
U78_U1_RNA_S69_L001_R1,40135718,72.42,62.96502033,9.457189728
U87_N1_RNA_S70_L001_R1,42579930,71.92,62.02431991,9.895518851
U87_U1_RNA_S71_L001_R1,36399775,70.53,61.13489438,9.391091016
U88_N1_RNA_S72_L001_R1,32471610,71.89,62.80142869,9.089540063
U88_U1_RNA_S73_L001_R1,38612117,70.53,60.82975715,9.702006238
U910_N2_RNA_S74_L001_R1,40641501,73.75,63.96906945,9.785347249
U910_U2_RNA_S75_L001_R1,38155562,74.75,64.26311844,10.4913302
U99_N2_RNA_S76_L001_R1,22988255,74.1,64.5336412,9.565554236
U99_U2_RNA_S77_L001_R1,45090581,73.45,63.45073265,10.00276532
